Cluster,total_quantity,total_spend,frequency,avg_quantity_per_visit,avg_spend_per_visit,avg_spend_per_item,recency,SPEND_BAKERY,SPEND_CASHPOINT,SPEND_CONFECTIONARY,SPEND_DAIRY,SPEND_DELI,SPEND_DISCOUNT_BAKERY,SPEND_DRINKS,SPEND_FROZEN,SPEND_FRUIT_VEG,SPEND_GROCERY_FOOD,SPEND_GROCERY_HEALTH_PETS,SPEND_LOTTERY,SPEND_MEAT,SPEND_NEWSPAPERS_MAGAZINES,SPEND_PRACTICAL_ITEMS,SPEND_PREPARED_MEALS,SPEND_SEASONAL_GIFTING,SPEND_SOFT_DRINKS,SPEND_TOBACCO,SPEND_WORLD_FOODS
554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554
0,332.6371841,446.9984116,27.4801444,14.55451749,19.42921867,1.415590695,31.62454874,19.3999639,13.62281588,37.11445848,44.84388087,8.528574007,2.226841155,46.73523466,23.97023466,45.87581227,42.13602888,39.29314079,1.400722022,38.12974729,5.279259928,0.69366426,25.0815704,4.055162455,14.38530686,29.81684116,4.409151625
0,232.2983991,319.1079509,19.24150697,9.78392083,12.86927168,0.618633963,37.84473625,18.60354773,115.5690581,38.52807334,39.1099908,17.04038662,10.00710892,77.67198113,29.99126098,51.47396501,39.53249067,42.10477593,8.538344499,44.54886456,9.401039571,2.407626468,31.37186037,10.19284792,27.96730333,93.13555351,7.424613567
0,27,30.23,1,1.875,3.621875,0.639378882,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,163,215.305,14,7.678796223,10.76966387,1.108489454,8,6.4975,0,13.3275,17.59,0,0,0,5.56,13.375,13.545,10.89,0,8.8475,0,0,5.595,0,2.14,0,0
0,268,379.33,24,11.94590643,15.48605575,1.276539467,14,13.715,0,25.5,34.845,1.695,0,15.515,13.24,31.315,29.86,25.935,0,22.355,2,0,16.09,0.84,6.83,0,1.62
0,443,593.245,35,17.95,24.47400338,1.541002273,38.75,27.0625,0,46.45,59.5875,9.03,0,58.935,32.405,57.9875,58.48,52.12,0,50.9125,6.4225,0,32.1075,3.82,17.0625,9.235,5.79
0,1441,2407.45,129,60.04166667,73.75,7.919243421,165,149.37,2137.01,320,274.82,139.49,173.06,559.41,204.56,489.42,226.29,321.36,152,317.54,84.69,24.8,234.63,116.68,445.95,765.92,62.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster,total_quantity,total_spend,frequency,avg_quantity_per_visit,avg_spend_per_visit,avg_spend_per_item,recency,SPEND_BAKERY,SPEND_CASHPOINT,SPEND_CONFECTIONARY,SPEND_DAIRY,SPEND_DELI,SPEND_DISCOUNT_BAKERY,SPEND_DRINKS,SPEND_FROZEN,SPEND_FRUIT_VEG,SPEND_GROCERY_FOOD,SPEND_GROCERY_HEALTH_PETS,SPEND_LOTTERY,SPEND_MEAT,SPEND_NEWSPAPERS_MAGAZINES,SPEND_PRACTICAL_ITEMS,SPEND_PREPARED_MEALS,SPEND_SEASONAL_GIFTING,SPEND_SOFT_DRINKS,SPEND_TOBACCO,SPEND_WORLD_FOODS
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506
1,442.243083,713.5664822,57.95059289,8.629331752,14.09171956,1.78528107,9.841897233,28.63958498,81.96399209,40.08438735,51.04094862,8.478102767,1.26041502,64.96847826,23.31039526,42.1344664,39.99592885,43.69247036,24.29347826,38.22847826,12.67859684,0.976581028,26.33980237,4.706245059,18.28237154,156.0696047,6.42215415
0,275.0890732,427.1597839,31.60103285,6.179382668,9.90004489,0.766388381,16.59114351,28.29663134,142.2808517,38.20778391,43.64143944,16.53794404,5.803115314,115.8299472,27.16148781,45.27920951,39.44514931,50.20535266,64.42911046,50.10619424,19.01711104,2.454233193,29.83389002,10.25526265,26.56756566,213.9939778,10.20986023
1,31,77.63,7,1.370967742,2.773214286,0.558162544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,242.25,420.2875,35,5.002293578,8.453280851,1.277052862,3,10.835,0,13.0575,20.245,0,0,0,5.12,10.7425,12.05,10.6475,0,5.9025,1.3,0,6.655,0,3.065,13.2875,0
1,389,616.57,52.5,6.992753623,11.81294048,1.586587106,5,21.995,30,30.07,41.4,1.97,0,16.8,14.01,28.285,25.765,28.595,5,21.25,5.995,0,16.14,1.1,8.7,69.925,2.785
1,583.75,891.3,76.75,10.36370426,16.61364286,2.01585455,8,38.5275,106.5,55.535,65.5,9.7925,0,65.21,30.7675,59.7225,55.74,60.93,20,53.08,16.35,0,35.78,4.8775,23.15,215.2425,8.4425
1,1729,2801.32,268,83.83333333,152.6216667,7.183217391,139,335.01,1721,391.78,274.37,165.86,61.43,859.35,163.38,457.95,215.92,507.59,946,410.44,170.13,18.43,206.8,106.46,195.24,1272.29,117.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster,total_quantity,total_spend,frequency,avg_quantity_per_visit,avg_spend_per_visit,avg_spend_per_item,recency,SPEND_BAKERY,SPEND_CASHPOINT,SPEND_CONFECTIONARY,SPEND_DAIRY,SPEND_DELI,SPEND_DISCOUNT_BAKERY,SPEND_DRINKS,SPEND_FROZEN,SPEND_FRUIT_VEG,SPEND_GROCERY_FOOD,SPEND_GROCERY_HEALTH_PETS,SPEND_LOTTERY,SPEND_MEAT,SPEND_NEWSPAPERS_MAGAZINES,SPEND_PRACTICAL_ITEMS,SPEND_PREPARED_MEALS,SPEND_SEASONAL_GIFTING,SPEND_SOFT_DRINKS,SPEND_TOBACCO,SPEND_WORLD_FOODS
714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714
2,573.3179272,695.0613025,47.66386555,14.17334616,17.12032968,1.222991819,4.271708683,38.32684874,4.174565826,60.92302521,76.2797479,14.14176471,2.122857143,61.73647059,38.56869748,85.7987535,68.4162605,67.46320728,1.869047619,61.71717087,12.06361345,2.297436975,39.28690476,6.071498599,21.4602521,24.15036415,8.192815126
0,346.5883429,456.5622513,24.85953041,10.58823396,13.44387002,0.312757247,4.356692473,32.23182251,18.42750596,56.03242318,55.12644387,23.89115598,10.07334538,120.0891212,40.49492142,73.64845186,58.90296349,75.24502557,12.16099955,71.17824068,21.71132336,4.80307268,45.97869312,13.70835296,34.21796035,92.16683357,11.36420311
2,6,7.28,4,1.2,1.456,0.596139241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,347,399.2175,30,7.481707317,9.006296627,1.042150262,2,17.4525,0,25.1325,37.905,0,0,0,11.91,35.4,26.5775,22.3575,0,18.25,1.2125,0,10.54,0,3.6825,0,0.9825
2,494,574.63,42.5,11.07291667,13.26872024,1.183256442,3,30.15,0,45.045,64.73,3.99,0,10.545,26.555,69.955,53.23,44.745,0,42.635,6.04,0,26.205,2.185,11.79,0,3.855
2,710.5,849.175,59,17.08589744,20.15760789,1.347700135,5,49.3575,0,79.38,100.2525,19.495,0,68.305,54.09,113.265,90.6125,82.5725,0,79.1275,14.96,2.55,52.535,6.76,27.565,0,10.6375
2,3499,4448.19,169,90.75,122.1633333,3.514766355,61,231.96,180,533.05,408.89,189.27,158.44,1005.33,322.06,601.91,418.81,655.76,201,713.28,351.73,47.54,454.29,209.93,529.65,810.67,91.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster,total_quantity,total_spend,frequency,avg_quantity_per_visit,avg_spend_per_visit,avg_spend_per_item,recency,SPEND_BAKERY,SPEND_CASHPOINT,SPEND_CONFECTIONARY,SPEND_DAIRY,SPEND_DELI,SPEND_DISCOUNT_BAKERY,SPEND_DRINKS,SPEND_FROZEN,SPEND_FRUIT_VEG,SPEND_GROCERY_FOOD,SPEND_GROCERY_HEALTH_PETS,SPEND_LOTTERY,SPEND_MEAT,SPEND_NEWSPAPERS_MAGAZINES,SPEND_PRACTICAL_ITEMS,SPEND_PREPARED_MEALS,SPEND_SEASONAL_GIFTING,SPEND_SOFT_DRINKS,SPEND_TOBACCO,SPEND_WORLD_FOODS
584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584
3,801.3767123,1177.600805,112.5821918,7.639559821,11.31219526,1.543001958,1.515410959,50.32174658,126.0051027,69.73558219,85.5185274,17.57178082,1.354863014,92.63320205,39.95714041,68.62208904,65.89243151,75.49357877,56.73083904,62.01785959,30.05827055,2.375222603,42.11936644,8.021489726,35.63974315,236.0279281,11.5040411
0,499.8620172,733.0533973,59.18772726,3.903613853,5.992198445,0.563350254,1.060649095,42.40354519,183.6009756,61.69184759,67.63912456,33.0849074,8.468140675,169.3920112,47.11216955,77.20369465,70.28122419,84.04307233,100.9530935,76.36523511,35.47425746,4.154944764,48.33567154,16.09941096,46.97781558,304.3718656,21.99541042
3,40,51.48,15,1.428571429,2.5563,0.684275362,1,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,478,661.94,72,5.101678541,7.077143868,1.169042001,1,21.7225,11.875,28.19,40.2775,0,0,0,11.72,24.93,24.1775,23.1225,3,15.4125,6.75,0,12.22,0,6.1575,12.42,1.7325
3,699.5,983.465,100.5,6.854421883,10.21352058,1.403002848,1,40.865,59,53.66,72.26,4.875,0,15.545,25.07,50.525,48.415,52.44,18.5,37.76,17.795,0.105,27.25,3.38,19.795,127.395,5.92
3,965.25,1482.15,143,9.04402834,14.05105957,1.797955693,2,66.07,160,88.6875,108.415,19.8875,0,97.885,48.8575,86.8125,82.08,96.135,63.625,82.72,41.535,3.4,55.0175,9.64,45.6725,343.4575,13.6275
3,4949,6588.65,374,30.71666667,46.36625,4.982758621,12,430.5,1751.9,440.43,708.04,316.19,89.94,993.05,369.73,1262.97,1017.07,884.45,881.55,707.25,265.1,38.94,372.36,229.44,378.16,2488.94,321.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster,total_quantity,total_spend,frequency,avg_quantity_per_visit,avg_spend_per_visit,avg_spend_per_item,recency,SPEND_BAKERY,SPEND_CASHPOINT,SPEND_CONFECTIONARY,SPEND_DAIRY,SPEND_DELI,SPEND_DISCOUNT_BAKERY,SPEND_DRINKS,SPEND_FROZEN,SPEND_FRUIT_VEG,SPEND_GROCERY_FOOD,SPEND_GROCERY_HEALTH_PETS,SPEND_LOTTERY,SPEND_MEAT,SPEND_NEWSPAPERS_MAGAZINES,SPEND_PRACTICAL_ITEMS,SPEND_PREPARED_MEALS,SPEND_SEASONAL_GIFTING,SPEND_SOFT_DRINKS,SPEND_TOBACCO,SPEND_WORLD_FOODS
642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642
4,728.5436137,818.9421963,79.78193146,10.64208154,12.17444955,1.14482417,1.442367601,50.83783489,16.20453271,73.27833333,91.63747664,18.44300623,1.972133956,46.4038785,47.43063863,93.92155763,76.49672897,72.61275701,7.847196262,67.71352025,22.51190031,3.337570093,41.38632399,7.372959502,25.83931464,42.16420561,11.5303271
0,409.4747392,490.9341325,41.09263289,7.284019768,9.329187582,0.29977092,0.800124407,42.89471421,48.52421159,65.36919409,61.67796595,29.34979872,11.23016897,99.25606321,49.45477936,77.01161479,60.55104254,74.461765,48.62550258,78.44694018,29.65250923,5.654823933,40.98686446,13.26794457,34.52032307,141.3584488,16.4385444
4,93,109.87,11,1.694063927,2.070717949,0.568615665,1,0,0,0.49,1.77,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0
4,441.25,474.6775,49,6.397058824,6.777369088,0.959348781,1,24.46,0,31.6775,47.3775,0,0,0,14.53,39.705,32.9675,24.385,0,16.4275,3.41,0,12.365,0,5.5425,0,2.035
4,635,700.505,72,8.707107843,9.713136471,1.092830734,1,40.045,0,55.985,76.45,5.615,0,8.5,32.59,75.555,60.84,49.82,0,43.325,12,1.52,30.145,2.9,13.895,0,5.98
4,906.25,1013.35,102,12.30870098,14.15706728,1.259490685,2,65.9425,9.75,93.6025,122.305,23.855,0,45.33,62.055,120.1375,102.06,94.7725,1,91.84,30.7775,4.24,56.27,9.185,32.6275,6.7725,14.6025
4,2873,3676.46,266,60.39130435,77.79608696,2.930972222,7,444.37,410,614.37,448.59,214.95,154.79,808.12,385.8,459.87,441.91,509.93,921,674.85,249.7,65.06,270.91,157.1,379.95,1305.2,172.62